facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0246,2020-21,legacy,Moranbah,INCITEC PIVOT LIMITED,QLD,,,528383.0,,1928645.0,1928645.0,"Please refer to the Multi-year monitoring period reported emissions data table for more information.
The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
"
F0077,2020-21,legacy,Grosvenor Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,,1767156.0,348998.0,348998.0,,,"The facility transferred operational control to a new responsible emitter during the 2020-2021 financial year, covered emissions under each period of operational control are presented separately, the combined baseline for both periods is equivalent to the applicable baseline determination for the facility in the full 2020-2021 financial year"
F0072,2020-21,legacy,Goonyella Broadmeadow Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,1736739.0,1577160.0,1577160.0,,, - 
F0077,2020-21,legacy,Grosvenor Mine,ANGLO COAL (GROSVENOR MANAGEMENT) PTY LTD,QLD,,1540597.0,439896.0,439896.0,,,"The facility transferred operational control to a new responsible emitter during 2020-21, covered emissions under each period of operational control are presented separately, the combined baseline for both periods is equivalent to the applicable baseline determination for the facility in the full 2020-2021 financial year"
F0167,2020-21,legacy,QGC Upstream ,QGC PTY LIMITED,QLD,,1186518.0,877296.0,877296.0,,, - 
F0250,2020-21,legacy,Phosphate Hill,INCITEC PIVOT LIMITED,QLD,,591456.0,501331.0,501331.0,,,
F0266,2020-21,legacy,Aurizon Rail Freight QLD,AURIZON OPERATIONS LIMITED,QLD,,558855.0,234875.0,234875.0,,,"Following a merger of the Aurizon Rail Freight QLD and AER Rail Freight QLD facilities into a single facility, the reported baseline determination for the facilities have been revoked under section 56 of the National Greenhouse and Energy Reporting (Safeguard Mechanism) Rule 2015 and a replacement reported baseline determination has been made for the merged facility. The covered emissions for 2020-21 also represents the combined emissions from the merged facility."
F0061,2020-21,legacy,Fairview,SANTOS LIMITED,QLD,,549476.0,347549.0,347549.0,,, - 
F0194,2020-21,legacy,Spring Gully,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,,438595.0,241555.0,241555.0,,, - 
F0005,2020-21,legacy,APU01 Pyrenees - AOA Facility,BHP PETROLEUM PTY LTD,WA,,399596.0,188815.0,188815.0,,,
F0052,2020-21,legacy,Daunia Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,310899.0,244552.0,244552.0,,, - 
F0044,2020-21,legacy,Talinga,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,,261084.0,219146.0,219146.0,,, - 
F0181,2020-21,legacy,Roma Hub,SANTOS LIMITED,QLD,,225019.0,103696.0,103696.0,,, - 
F0264,2020-21,legacy,ATCO Gas Australia Pty Ltd,ATCO GAS AUSTRALIA GP PTY LTD,WA,,187220.0,114623.0,114623.0,,, - 
F0056,2020-21,legacy,Dongara Operations,ADBRI LIMITED,WA,,,100087.0,,303952.0,303952.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0048,2020-21,legacy,CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,WA,,,104196.0,,306804.0,306804.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0271,2020-21,legacy,NGP,JEMENA NORTHERN GAS PIPELINE PTY LTD,NT/QLD,,,99288.0,,436361.0,384918.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0204,2020-21,legacy,TT-Line - Victorian Operation,TT-LINE COMPANY PTY. LTD.,VIC,,,129262.0,,466754.0,440113.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0084,2020-21,legacy,Liberty OneSteel Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,,,113227.0,,479639.0,446626.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0142,2020-21,legacy,ODS01 Olympic Dam - UOD Facility,BHP OLYMPIC DAM CORPORATION PTY LTD,SA,,,234786.0,,721489.0,667558.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0191,2020-21,legacy,South Walker Creek,BHP MITSUI COAL PTY LTD,QLD,,,304815.0,,941068.0,819759.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0091,2020-21,legacy,Jimblebar Mine,BHP IRON ORE PTY LTD,WA,,,305260.0,,1021985.0,909521.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0019,2020-21,legacy,Bengalla Operations,BENGALLA MINING COMPANY PTY LIMITED,NSW,,,449399.0,,1029724.0,988256.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0189,2020-21,legacy,Solomon Mine,FMG SOLOMON PTY LTD,WA,,,436846.0,,1278347.0,1268643.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0182,2020-21,legacy,Roy Hill Mine,ROY HILL HOLDINGS PTY LTD,WA,,,430818.0,,1325271.0,1271493.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0006,2020-21,legacy,ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,,,406944.0,,1332214.0,1197355.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0035,2020-21,legacy,Caval Ridge Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,,590564.0,,1731537.0,1657652.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0121,2020-21,legacy,Mount Pleasant Operations,MACH ENERGY AUSTRALIA PTY LTD,NSW,,,675893.0,,2062091.0,1310497.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0161,2020-21,legacy,Portland Aluminium Smelter,ALCOA PORTLAND ALUMINIUM PTY LTD,VIC,,,594849.0,,2316290.0,2316290.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0202,2020-21,legacy,Tomago Aluminium Smelter,TOMAGO ALUMINIUM COMPANY PTY LTD,NSW,,,1181106.0,,3824778.0,3570795.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0119,2020-21,legacy,Moranbah North Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,,,2529216.0,,11238062.0,9129609.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
