facility_id,canonical_name,latest_year_present,responsible_emitter,anzsic,state,years_present,n_years,min_match_confidence,needs_review,latitude,longitude,geocode_confidence,name_2024-25,name_2023-24,name_2022-23,name_2021-22,name_2020-21,geocode_matched_place
F0229,Cleanaway Lucas Heights Resource Recovery Park,2023-24,Cleanaway Waste Management Limited,"Waste treatment, disposal and remediation services (292)",NSW,"2020-21,2021-22,2022-23,2023-24",4,100.0,False,-34.0457319730474,150.973120561478,not found,,1. Solid Waste Services - Lucas Heights,1. Solid Waste Services - Lucas Heights,New Illawarra Road Landfill,New Illawarra Road Landfill,
F0001,2. Solid Waste Services - MRL,2024-25,Cleanaway Waste Management Limited,"Waste treatment, disposal and remediation services (292)",VIC,"2024-25,2023-24,2022-23,2021-22",4,100.0,False,-37.7875972466807,144.72244532549,not found,2. Solid Waste Services - MRL,1. Solid Waste Services - MRL,1. Solid Waste Services - MRL,1. Solid Waste Services - MRL,,
F0003,APLNG Facility,2024-25,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,Oil and gas extraction (070),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-23.75272674,151.1845945,not found,APLNG Facility,APLNG Facility,APLNG Facility,APLNG Facility,APLNG Facility,
F0004,APN01 Appin Colliery - ICH Facility,2024-25,ENDEAVOUR COAL PTY LIMITED,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-34.2328756,150.832129,not found,APN01 Appin Colliery - ICH Facility,APN01 Appin Colliery - ICH Facility,APN01 Appin Colliery - ICH Facility,APN01 Appin Colliery - ICH Facility,APN01 Appin Colliery - ICH Facility,
F0005,Pyrenees,2024-25,WOODSIDE ENERGY GLOBAL PTY LTD,Oil and gas extraction (070),WA,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-21.59057388,114.2585289,not found,APU01 Pyrenees - AOA Facility,APU01 Pyrenees - AOA Facility,APU01 Pyrenees - AOA Facility,APU01 Pyrenees - AOA Facility,APU01 Pyrenees - AOA Facility,
F0006,ARC01 Mining Area C - MNG Facility,2024-25,BHP IRON ORE PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.92625571,118.8828109,not found,ARC01 Mining Area C - MNG Facility,ARC01 Mining Area C - MNG Facility,ARC01 Mining Area C - MNG Facility,ARC01 Mining Area C - MNG Facility,ARC01 Mining Area C - MNG Facility,
F0264,ATCO Gas Australia Pty Ltd,2021-22,ATCO Gas Australia GP Pty Ltd,,WA,"2021-22,2020-21",2,100.0,False,-32.11442744,115.8585666,not found,,,,ATCO Gas Australia Pty Ltd,ATCO Gas Australia Pty Ltd,
F0002,Angaston Operations,2024-25,ADBRI LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",SA,"2024-25,2023-24,2022-23,2021-22",4,100.0,False,-34.49695273,139.0257727,not found,Angaston Operations,Angaston Operations,Angaston Operations,Angaston Operations,,
F0007,Arcadia,2024-25,Santos Limited,Oil and gas extraction (070),QLD,"2024-25,2023-24",2,100.0,False,-19.1432945,146.8595739,possible,Arcadia,Arcadia,,,,"Arcadia, Townsville, Queensland, Australia"
F0008,Arrow Surat Operations,2024-25,Arrow Energy Holdings Pty Ltd,Oil and gas extraction (070),QLD,"2024-25,2023-24",2,100.0,False,-27.0970511,150.9501408,not found,Arrow Surat Operations,Arrow Surat Operations,,,,
