Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
1. Solid Waste Services - Lucas Heights,Cleanaway Waste Management Limited,NSW,"Waste treatment, disposal and remediation services (292)",0.951,"327,658","112,867",0,0,0,0,0,"112,867","-214,791",0,0,-,-,"3,000","109,858",9,0,The facility is covered by a landfill baseline.
1. Solid Waste Services - MRL,Cleanaway Waste Management Limited,VIC,"Waste treatment, disposal and remediation services (292)",0.951,"350,747","162,282",0,"179,891",0,0,0,"342,173","-8,574",0,0,-,-,"7,364","154,859",59,0,The facility is covered by a landfill baseline.
Angaston Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.990,"103,873","112,841",0,0,0,0,"8,968","103,873",0,0,0,-,-,"112,730",76,35,0,-
APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.951,"2,034,870","2,120,644",0,0,0,0,"85,774","2,034,870",0,0,0,-,-,"2,084,631","33,993","1,948",72,-
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,Coal mining (060),0.951,"2,154,439","1,833,982",0,0,0,0,0,"1,833,982","-320,457","320,457",0,-,-,"102,569","1,731,355",18,40,-
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,WA,Oil and gas extraction (070),0.951,"108,074","116,569",0,0,0,"8,497",0,"108,072",-2,0,0,-,-,"105,779","10,584",206,0,-
ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"694,935","512,387",0,0,0,0,0,"512,387","-182,548",0,0,-,-,"509,852",728,"1,641",166,-
Arcadia,Santos Limited,QLD,Oil and gas extraction (070),0.951,"166,220","108,224",0,0,0,0,0,"108,224","-57,996","57,996",0,-,-,"100,026","7,922",95,181,-
Arrow Surat Operations,Arrow Energy Holdings Pty Ltd,QLD,Oil and gas extraction (070),0.951,"193,637","155,650",0,0,0,0,0,"155,650","-37,987","37,987",0,-,-,"124,138","31,362",150,0,-
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"158,653","350,750",0,0,0,"192,097",0,"158,653",0,0,0,-,-,"9,420","341,315",11,4,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,National,Rail freight transport (471),0.951,"603,720","626,369",0,0,0,"22,649",0,"603,720",0,0,0,-,-,"621,882",927,"3,560",0,-
AusNet Gas Services Pty Ltd,AusNet Services Holdings Pty Ltd,VIC,Gas supply (270),0.951,"187,366","188,003",0,0,0,637,0,"187,366",0,0,0,-,-,"2,629","185,371",3,0,-
Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks Holding Pty Ltd,VIC,Gas supply (270),0.951,"119,292","111,805",0,0,0,0,0,"111,805","-7,487","7,487",0,-,-,"2,154","109,650",1,0,-
Ballera,Santos Limited,QLD,Oil and gas extraction (070),0.951,"120,065","153,917",0,0,0,"33,852",0,"120,065",0,0,0,-,-,"141,395","12,366",155,1,-
Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD ,QLD,Coal mining (060),0.951,"142,165","138,324",0,0,0,0,0,"138,324","-3,841","3,841",0,-,-,"89,127","48,941",256,0,-
Batchfire Resources No.1,BATCHFIRE RESOURCES PTY LTD,QLD,Coal mining (060),0.951,"161,762","218,872",0,0,0,0,0,"218,872","57,110",0,0,"218,872","57,110","217,940",307,621,4,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Beharra Springs,BEACH ENERGY LIMITED,WA,Oil and gas extraction (070),0.951,"100,000","145,438",0,0,0,"45,438",0,"100,000",0,0,0,-,-,"137,169","7,453",816,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Bell Bay Smelter,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,TAS,Basic non-ferrous metal manufacturing (213),0.990,"353,471","351,701",0,0,0,0,0,"351,701","-1,770","1,770",0,-,-,"329,886",53,21,"21,741",-
Bengalla Operations,Bengalla Mining Company Pty Limited,NSW,Coal mining (060),0.951,"519,270","626,511",0,0,0,"107,241",0,"519,270",0,0,0,-,-,"213,856","412,057",581,17,-
Birkenhead Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"877,429","809,431",0,"38,998",0,0,0,"848,429","-29,000","29,000",0,-,-,"807,422",425,"1,584",0,-
Blackwater Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"485,780","531,681",0,0,0,"45,901",0,"485,780",0,0,0,-,-,"249,529","281,413",723,16,-
Blackwater Mine,WHITEHAVEN BLACKWATER PTY LTD,QLD,Coal mining (060),0.951,"156,081","190,372",0,0,0,"34,291",0,"156,081",0,0,0,-,-,"79,800","110,315",232,25,-
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,NSW,Coal mining (060),0.951,"206,330","210,390",0,0,0,"4,060",0,"206,330",0,0,0,-,-,"209,101",700,585,4,-
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.990,"931,303","921,558",0,0,0,0,0,"921,558","-9,745","9,745",0,-,-,"881,347",145,55,"40,011",-
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"185,088","312,410",0,0,0,"127,322",0,"185,088",0,0,0,-,-,"311,071",445,894,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Brockman 4 Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"142,158","236,261",0,0,0,"94,103",0,"142,158",0,0,0,-,-,"235,247",337,677,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Bulga Coal Complex,BULGA COAL MANAGEMENT PTY LIMITED,NSW,Coal mining (060),0.951,"656,158","527,889",0,0,0,0,0,"527,889","-128,269","128,269",0,-,-,"290,944","236,084",847,14,-
Burton Complex,BOWEN COKING COAL LIMITED,QLD,Coal mining (060),0.951,"165,342","167,954",0,0,0,"2,612",0,"165,342",0,0,0,-,-,"89,538","78,153",262,1,-
Byerwen Mine,BYERWEN COAL PTY LTD,QLD,Coal mining (060),0.951,"360,395","432,031",0,0,0,"71,636",0,"360,395",0,0,0,-,-,"214,806","216,575",650,0,-
CAN01,South32 Cannington Proprietary Limited,QLD,Metal ore mining (080),0.951,"116,579","123,595",0,0,0,"7,016",0,"116,579",0,0,0,-,-,"123,232",230,113,20,-
Capcoal Mine,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"2,070,902","1,048,254",0,0,0,0,0,"1,048,254","-1,022,648","1,022,648",0,-,-,"187,018","860,620",550,66,-
Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,QLD,Coal mining (060),0.951,"419,085","589,348",0,0,0,"546,907",0,"42,441","-376,644",0,0,"2,001,203",-1,"43,333","545,831",181,3,Please refer to the excess emissions situation table for more information. Please refer to the Multi-year monitoring period reported emissions data table for more information.
Carmichael Coal Mine,Adani Mining Pty Ltd,QLD,Coal mining (060),0.951,"1,026,479","675,247",0,0,0,0,0,"675,247","-351,232","351,232",0,-,-,"238,123","436,436",688,0,-
Carosue Dam Operations,NORTHERN STAR (CAROSUE DAM) PTY LTD,WA,Metal ore mining (080),0.951,"103,274","102,722",0,0,0,"5,273",0,"97,449","-5,825",0,0,"320,194",0,"102,352",170,192,8,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Caval Ridge Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"254,032","324,232",0,0,0,"70,200",0,"254,032",0,0,0,-,-,"319,134","4,174",910,14,-
CEM NSW Berrima Maldon,Boral Limited,NSW,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"1,015,917","952,073",0,0,0,0,0,"952,073","-63,844","63,844",0,-,-,"949,944",265,"1,864",0,-
Centurion Coal Mine,Centurion Coal Mining Pty Ltd,QLD,Coal mining (060),0.951,"100,000","174,917",0,0,0,"74,917",0,"100,000",0,0,0,-,-,"21,856","152,959",101,1,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Chain Valley Colliery,Delta Electricity Pty Ltd,NSW,Coal mining (060),0.951,"588,821","588,821","15,602",0,0,0,0,"588,821",0,0,0,-,-,"23,771","565,038",3,9,-
Chandala Processing Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.951,"204,507","227,722",0,0,0,0,"23,215","204,507",0,0,0,-,-,"227,692",22,8,0,-
