Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN, Baseline number ,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered, Net emissions number ,MYMP net emissions number,MYMP baseline number,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
1. Solid Waste Services - Lucas Heights,NSW,CLEANAWAY WASTE MANAGEMENT LIMITED,74 101 155 220," 315,324 ",Landfill baseline," 129,354 ",0,0,0," 129,354 ",n/a,n/a,-,-,-
1. Solid Waste Services - MRL,VIC,CLEANAWAY WASTE MANAGEMENT LIMITED,74 101 155 220," 251,277 ",Landfill baseline," 107,380 ","241,391","211,334",0," 137,437 ",n/a,n/a,-,-,-
Angaston Operations,SA,ADBRI LIMITED,15 007 596 018," 108,195 ",Production-adjusted baseline," 116,760 ",0,0,"7,145"," 108,195 ",n/a,n/a,15/01/2025,4/06/2025,-
APLNG Facility,QLD,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28 141 253 787," 2,381,120 ",Production-adjusted baseline," 2,096,033 ",0,0,0," 2,096,033 ",n/a,n/a,-,-,-
APN01 Appin Colliery - ICH Facility,NSW,ENDEAVOUR COAL PTY LIMITED,38 099 830 476," 3,280,958 ",Production-adjusted baseline," 2,433,025 ",0,0,0," 2,433,025 ",n/a,n/a,-,-,-
APU01 Pyrenees - AOA Facility,WA,WOODSIDE ENERGY GLOBAL PTY LTD,97 006 918 832," 368,195 ",Production-adjusted baseline," 176,667 ",0,0,0," 176,667 ",n/a,n/a,-,-,-
ARC01 Mining Area C - MNG Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981," 861,545 ",Production-adjusted baseline," 470,614 ",0,0,0," 470,614 ",n/a,n/a,-,-,-
Ashton Coal Mine (Underground),NSW,ASHTON COAL OPERATIONS PTY LIMITED,22 078 556 500," 871,793 ",Calculated baseline," 381,866 ",0,0,0," 381,866 ",n/a,n/a,-,-,-
Aurizon National Transport Facility,National,AURIZON OPERATIONS LIMITED,47 564 947 264," 648,120 ",Production-adjusted baseline," 562,389 ",0,0,0," 562,389 ",n/a,n/a,-,-,-
AusNet Gas Services Pty Ltd,VIC,AUSNET SERVICES HOLDINGS PTY LTD,97 086 006 859," 221,453 ",Production-adjusted baseline," 185,486 ",0,0,0," 185,486 ",n/a,n/a,-,-,-
