Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
Moranbah,QLD,INCITEC PIVOT LIMITED,42 004 080 264,n/a,Multi-year monitoring period,"528,383","22,336",0,"129,955",n/a,"1,928,645","1,928,645", - , - ,"Please refer to the Multi-year monitoring period reported emissions data table for more information.
The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
"
Grosvenor Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14 069 603 587,"1,767,156",Calculated baseline,"348,998",0,0,0,"348,998",n/a,n/a, - , - ,"The facility transferred operational control to a new responsible emitter during the 2020-2021 financial year, covered emissions under each period of operational control are presented separately, the combined baseline for both periods is equivalent to the applicable baseline determination for the facility in the full 2020-2021 financial year"
Goonyella Broadmeadow Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"1,736,739",Production-adjusted baseline,"1,577,160",0,0,0,"1,577,160",n/a,n/a, - , - , - 
Grosvenor Mine,QLD,ANGLO COAL (GROSVENOR MANAGEMENT) PTY LTD,16 153 794 122,"1,540,597",Calculated baseline,"439,896",0,0,0,"439,896",n/a,n/a, - , - ,"The facility transferred operational control to a new responsible emitter during 2020-21, covered emissions under each period of operational control are presented separately, the combined baseline for both periods is equivalent to the applicable baseline determination for the facility in the full 2020-2021 financial year"
QGC Upstream ,QLD,QGC PTY LIMITED,11 089 642 553,"1,186,518",Production-adjusted baseline,"877,296",0,0,0,"877,296",n/a,n/a, - , - , - 
Phosphate Hill,QLD,INCITEC PIVOT LIMITED,42 004 080 264,"591,456",Calculated baseline,"501,331",0,0,0,"501,331",n/a,n/a, - , - ,
Aurizon Rail Freight QLD,QLD,AURIZON OPERATIONS LIMITED,47 564 947 264,"558,855",Reported baseline,"234,875",0,0,0,"234,875",n/a,n/a, - , - ,"Following a merger of the Aurizon Rail Freight QLD and AER Rail Freight QLD facilities into a single facility, the reported baseline determination for the facilities have been revoked under section 56 of the National Greenhouse and Energy Reporting (Safeguard Mechanism) Rule 2015 and a replacement reported baseline determination has been made for the merged facility. The covered emissions for 2020-21 also represents the combined emissions from the merged facility."
Fairview,QLD,SANTOS LIMITED,80 007 550 923,"549,476",Production-adjusted baseline,"347,549",0,0,0,"347,549",n/a,n/a, - , - , - 
Spring Gully,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67 105 423 532,"438,595",Production-adjusted baseline,"241,555",0,0,0,"241,555",n/a,n/a, - , - , - 
APU01 Pyrenees - AOA Facility,WA,BHP PETROLEUM PTY LTD,97 006 918 832,"399,596",Production-adjusted baseline,"188,815",0,0,0,"188,815",n/a,n/a, - , - ,
