Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
1. Solid Waste Services - MRL,VIC,Cleanaway Waste Management Limited,74101155220,"222,121",Landfill baseline,"101,761","389,477","380,251",0,"110,987",n/a,n/a, - , - ,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.,
Angaston Operations,SA,ADBRI LIMITED,15007596018,"103,285",Production-adjusted baseline,"114,588",0,0,"11,303","103,285",n/a,n/a, - , - ,-,
APLNG Facility,QLD,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28141253787,"2,381,120",Production-adjusted baseline,"2,132,240",0,0,0,"2,132,240",n/a,n/a, - , - ,-,
APN01 Appin Colliery - ICH Facility,NSW,ENDEAVOUR COAL PTY LIMITED,38099830476,"2,470,574",Production-adjusted baseline,"1,589,755",0,0,0,"1,589,755",n/a,n/a, - , - ,-,
APU01 Pyrenees - AOA Facility,WA,WOODSIDE ENERGY GLOBAL PTY LTD,97006918832,"388,666",Production-adjusted baseline,"181,810",0,0,0,"181,810",n/a,n/a, - , - ,-,
ARC01 Mining Area C - MNG Facility,WA,BHP IRON ORE PTY LTD,46008700981,"763,972",Production-adjusted baseline,"412,089",0,0,0,"412,089",n/a,n/a, - , - ,-,
Ashton Coal Mine (Underground),NSW,ASHTON COAL OPERATIONS PTY LIMITED,22078556500,"871,793",Calculated baseline,"596,235",0,0,0,"596,235",n/a,n/a, - , - ,-,
ATCO Gas Australia Pty Ltd,WA,ATCO Gas Australia GP Pty Ltd,76151245779,"187,220",Production-adjusted baseline,"103,813",0,0,0,"103,813",n/a,n/a, - , - ,-,
Aurizon Rail Freight NSW,NSW,AURIZON OPERATIONS LIMITED,47564947264,"151,367",Production-adjusted baseline,"120,406",0,0,0,"120,406",n/a,n/a, - , - ,-,
Aurizon Rail Freight QLD,QLD,AURIZON OPERATIONS LIMITED,47564947264,"263,233",Production-adjusted baseline,"223,097",0,0,0,"223,097",n/a,n/a, - , - ,-,
Aurizon Rail Freight WA,WA,AURIZON OPERATIONS LIMITED,47564947264,"156,679",Production-adjusted baseline,"141,227",0,0,0,"141,227",n/a,n/a, - , - ,-,
AusNet Gas Services Pty Ltd,VIC,AusNet Services Holdings Pty Ltd,97086006859,"220,372",Production-adjusted baseline,"185,931",0,0,0,"185,931",n/a,n/a, - , - ,-,
Australian Gas Networks (SA) Ltd,SA,Australian Gas Networks Limited,19078551685,"120,932",Production-adjusted baseline,"107,063",0,0,0,"107,063",n/a,n/a, - , - ,-,
Australian Gas Networks (Vic) Pty Ltd,VIC,Australian Gas Networks Limited,19078551685,"301,675",Production-adjusted baseline,"158,211",0,0,0,"158,211",n/a,n/a, - , - ,-,
Ballera,QLD,Santos Limited,80007550923,"200,749",Calculated baseline,"172,435",0,0,0,"172,435",n/a,n/a, - , - ,-,
Baralaba Coal Mine,QLD,BARALABA COAL COMPANY PTY LTD ,42096909634,n/a,Multi-year monitoring period,"110,125",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Batchfire Resources No.1,QLD,BATCHFIRE RESOURCES PTY LTD,84607340189,"241,186",Calculated baseline,"188,124",0,0,0,"188,124",n/a,n/a, - , - ,-,
Bell Bay Smelter,TAS,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,91009483201,"370,510",Calculated baseline,"357,496",0,0,0,"357,496",n/a,n/a, - , - ,-,
Bengalla Operations,NSW,Bengalla Mining Company Pty Limited,32053909470,"730,869",Production-adjusted baseline,"725,774",0,0,0,"725,774",n/a,n/a, - , - ,-,
Birkenhead Operations,SA,ADBRI LIMITED,15007596018,"1,106,181",Production-adjusted baseline,"829,478","24,786",0,0,"854,264",n/a,n/a, - , - ,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.,
Blackwater Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,"733,663",Calculated baseline,"643,597",0,0,0,"643,597",n/a,n/a, - , - ,-,
Boggabri Coal Minesite,NSW,BOGGABRI COAL PTY LIMITED,77122087398,"202,244",Calculated baseline,"177,437",0,0,0,"177,437",n/a,n/a, - , - ,-,
Boyne Smelters Limited,QLD,RIO TINTO ALUMINIUM LIMITED,51009679127,"918,989",Calculated baseline,"895,814",0,0,0,"895,814",n/a,n/a, - , - ,-,
Brockman 2 / Nammuldi Mines,WA,Hamersley Iron Pty. Limited,49004558276,"321,494",Calculated baseline,"326,461",0,0,"4,967","321,494",n/a,n/a, - , - ,-,
Brockman 4 Mine,WA,Hamersley Iron Pty. Limited,49004558276,"395,901",Calculated baseline,"208,674",0,0,0,"208,674",n/a,n/a, - , - ,-,
Bulga Coal Complex,NSW,BULGA COAL MANAGEMENT PTY LIMITED,48055534391,"707,250",Calculated baseline,"474,479",0,0,0,"474,479",n/a,n/a, - , - ,-,
Byerwen  Mine,QLD,BYERWEN COAL PTY LTD,64133357632,"456,929",Calculated baseline,"338,093",0,0,0,"338,093",n/a,n/a, - , - ,-,
CAN01,QLD,South32 Cannington Proprietary Limited,48125530967,"132,240",Calculated baseline,"117,901",0,0,0,"117,901",n/a,n/a, - , - ,-,
Capcoal Mine,QLD,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,73010037564,"4,544,066",Calculated baseline,"1,879,565",0,0,0,"1,879,565",n/a,n/a, - , - ,-,
Carborough Downs Coal Mine,QLD,FITZROY (CQ) PTY LTD,61103902389,n/a,Multi-year monitoring period,"968,784",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Carmichael Coal Mine,QLD,Adani Mining Pty Ltd,27145455205,"740,457",Calculated baseline,"190,781",0,0,0,"190,781",n/a,n/a, - , - ,-,
Carosue Dam Operations,WA,NORTHERN STAR (CAROSUE DAM) PTY LTD,14116649122,n/a,Multi-year monitoring period,"115,517",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Caval Ridge Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,"644,129",Production-adjusted baseline,"264,848",0,0,0,"264,848",n/a,n/a, - , - ,-,
CEM NSW Berrima,NSW,Boral Limited,13008421761,"1,054,904",Production-adjusted baseline,"1,012,081",0,0,0,"1,012,081",n/a,n/a, - , - ,-,
Chandala Processing Plant,WA,Tronox Management Pty Ltd,59009343364,"280,203",Production-adjusted baseline,"233,786",0,0,0,"233,786",n/a,n/a, - , - ,-,
Christmas Creek Mine,WA,CHICHESTER METALS PTY LTD,83109264262,"596,884",Calculated baseline,"373,646",0,0,0,"373,646",n/a,n/a, - , - ,-,
Clermont Coal Operations,QLD,Clermont Coal Operations Pty Limited,54166342418,"437,255",Calculated baseline,"361,701",0,0,0,"361,701",n/a,n/a, - , - ,-,
Cloudbreak Mine,WA,CHICHESTER METALS PTY LTD,83109264262,"405,681",Calculated baseline,"362,034",0,0,0,"362,034",n/a,n/a, - , - ,-,
Cockburn Operations,WA,ADBRI LIMITED,15007596018,"789,018",Production-adjusted baseline,"785,376",0,0,0,"785,376",n/a,n/a, - , - ,-,
